Samples	SBS96A
C001	569
C002	730
C003	261
C004	21
C005	1064
C006	279
C007	525
C008	12
C009	816
C010	35
C010r	63
C011	54
C013	86
C014	132
F001	139
F002	66
F002r	541
F004	67
F005	115
F006	8
F007	2059
F008	172
F010	124
F011	100
F012	106
F013	23
F014	198
F015	507
F016	239
F017	586
F018	58
F019	8
F020	384
F021	8
F022	306
F023	32
F024	4
F026	1396
F027	31
F029	328
F031	650
F034	129
F036	736
F037	9
F038	176
F039	150
F041	703
F042	349
F043	260
F044	67
F045	306
F046	28
F048	28
F050	7
F052	44
F053	125
F054	41
F055	1155
F056	78
F057	411
F058	896
F059	217
F059r	319
SJ01	2763
SJ02	304
SJ03	470
SJ04	19
SJ08	296
SJ09	133
SJ10	594
SJ12	276
SJ13	126
SJ14	123
SJ17	335
SJ18	156
SJ19	304
SJ20	1600
SJ25	204
SJ28	1067
SJ31	124
SJ32	1063
SJ33	155
T135	4916
